Date,Stations,Max_Temp
17-07-1970,Bhola,****
17-07-1970,Bogra,33.1
17-07-1970,Dinajpur,32.8
17-07-1970,Ishurdi,35.3
17-07-1970,Khulna,36.1
17-07-1970,Rajshahi,****
17-07-1970,Rangpur,32.7
17-07-1970,Satkhira,32.2
17-07-1970,Srimangal,33.8
17-07-1970,Sylhet,32.2
18-07-1970,Barisal,32.1
18-07-1970,Bhola,32.4
18-07-1970,Bogra,32.9
18-07-1970,Dinajpur,33.3
18-07-1970,Ishurdi,33.7
18-07-1970,Khulna,34.2
18-07-1970,Rajshahi,****
18-07-1970,Rangpur,32.1
18-07-1970,Satkhira,32.2
18-07-1970,Srimangal,33.3
18-07-1970,Sylhet,31.1
19-07-1970,Barisal,30.9
19-07-1970,Bhola,30
19-07-1970,Bogra,32.8
19-07-1970,Dinajpur,29.4
19-07-1970,Ishurdi,31.4
19-07-1970,Khulna,33.8
19-07-1970,Rajshahi,****
19-07-1970,Rangpur,30.8
19-07-1970,Satkhira,32.2
19-07-1970,Srimangal,29.4
19-07-1970,Sylhet,26.7
20-07-1970,Barisal,29.7
20-07-1970,Bhola,30.4
20-07-1970,Bogra,30.7
20-07-1970,Dinajpur,32.2
20-07-1970,Ishurdi,32.1
20-07-1970,Khulna,****
20-07-1970,Rajshahi,****
20-07-1970,Rangpur,30.8
20-07-1970,Satkhira,32.2
20-07-1970,Srimangal,29.9
20-07-1970,Sylhet,29.4
21-07-1970,Barisal,28.1
21-07-1970,Bhola,34.1
21-07-1970,Bogra,29.4
21-07-1970,Dinajpur,29.6
21-07-1970,Ishurdi,****
21-07-1970,Khulna,28
21-07-1970,Rajshahi,****
21-07-1970,Rangpur,31.1
21-07-1970,Satkhira,32.2
21-07-1970,Srimangal,29.4
21-07-1970,Sylhet,27.2
22-07-1970,Barisal,28.3
22-07-1970,Bhola,31.9
22-07-1970,Bogra,30.3
22-07-1970,Dinajpur,28.3
22-07-1970,Ishurdi,****
22-07-1970,Khulna,27.7
22-07-1970,Rajshahi,****
22-07-1970,Rangpur,28.7
22-07-1970,Satkhira,32.2
22-07-1970,Srimangal,28.3
22-07-1970,Sylhet,27.2
23-07-1970,Barisal,28.6
23-07-1970,Bhola,27.3
23-07-1970,Bogra,28.9
23-07-1970,Dinajpur,28.9
23-07-1970,Ishurdi,****
23-07-1970,Khulna,29.9
23-07-1970,Rajshahi,****
23-07-1970,Rangpur,28.7
23-07-1970,Satkhira,30
23-07-1970,Srimangal,29.1
23-07-1970,Sylhet,27.2
24-07-1970,Barisal,30.1
24-07-1970,Bhola,30.3
24-07-1970,Bogra,31.7
24-07-1970,Dinajpur,30.6
24-07-1970,Ishurdi,****
24-07-1970,Khulna,32.2
24-07-1970,Rajshahi,****
24-07-1970,Rangpur,30.6
24-07-1970,Satkhira,****
24-07-1970,Srimangal,25.5
24-07-1970,Sylhet,26.1
25-07-1970,Barisal,30.6
25-07-1970,Bhola,30.9
25-07-1970,Bogra,32.5
25-07-1970,Dinajpur,31.7
25-07-1970,Ishurdi,****
25-07-1970,Khulna,32.1
25-07-1970,Rajshahi,****
25-07-1970,Rangpur,31.1
25-07-1970,Satkhira,32.2
25-07-1970,Srimangal,28.8
25-07-1970,Sylhet,26.1
26-07-1970,Barisal,30.9
26-07-1970,Bhola,30.8
26-07-1970,Bogra,30.8
26-07-1970,Dinajpur,29.4
26-07-1970,Ishurdi,****
26-07-1970,Khulna,32.8
26-07-1970,Rajshahi,****
26-07-1970,Rangpur,****
26-07-1970,Satkhira,29.4
26-07-1970,Srimangal,32.2
26-07-1970,Sylhet,31.1
27-07-1970,Barisal,30.3
27-07-1970,Bhola,31.9
27-07-1970,Bogra,29.4
27-07-1970,Dinajpur,31.7
27-07-1970,Ishurdi,****
27-07-1970,Khulna,32.8
27-07-1970,Rajshahi,****
27-07-1970,Rangpur,32.5
27-07-1970,Satkhira,32.2
27-07-1970,Srimangal,32.2
27-07-1970,Sylhet,31.1
28-07-1970,Barisal,29
28-07-1970,Bhola,30.4
28-07-1970,Bogra,30.6
28-07-1970,Dinajpur,30.6
28-07-1970,Ishurdi,****
28-07-1970,Khulna,31.3
28-07-1970,Rajshahi,****
28-07-1970,Rangpur,32.2
28-07-1970,Satkhira,32.2
28-07-1970,Srimangal,31.6
28-07-1970,Sylhet,31.7
29-07-1970,Barisal,30.6
29-07-1970,Bhola,30.3
29-07-1970,Bogra,31.1
29-07-1970,Dinajpur,32.2
29-07-1970,Ishurdi,****
29-07-1970,Khulna,29.4
29-07-1970,Rajshahi,****
29-07-1970,Rangpur,31.9
29-07-1970,Satkhira,32.2
29-07-1970,Srimangal,30.5
29-07-1970,Sylhet,30.6
30-07-1970,Barisal,30
30-07-1970,Bhola,30.9
30-07-1970,Bogra,26.7
30-07-1970,Dinajpur,27.2
30-07-1970,Ishurdi,****
30-07-1970,Khulna,30
30-07-1970,Rajshahi,****
30-07-1970,Rangpur,29.4
30-07-1970,Satkhira,31.1
30-07-1970,Srimangal,31.6
30-07-1970,Sylhet,31.1
31-07-1970,Barisal,30.5
31-07-1970,Bhola,30.4
31-07-1970,Bogra,26.7
31-07-1970,Dinajpur,26.7
31-07-1970,Ishurdi,****
31-07-1970,Khulna,30
31-07-1970,Rajshahi,****
31-07-1970,Rangpur,28.5
31-07-1970,Satkhira,32.2
31-07-1970,Srimangal,30.9
31-07-1970,Sylhet,****
01-08-1970,Barisal,29.6
01-08-1970,Bhola,30.8
01-08-1970,Bogra,31.6
01-08-1970,Dinajpur,31.1
01-08-1970,Ishurdi,31.8
01-08-1970,Khulna,33.8
01-08-1970,Rajshahi,****
01-08-1970,Rangpur,29.2
01-08-1970,Satkhira,32.8
01-08-1970,Srimangal,32.2
01-08-1970,Sylhet,31.7
02-08-1970,Barisal,31.1
02-08-1970,Bhola,30.8
02-08-1970,Bogra,31.1
02-08-1970,Dinajpur,30.8
02-08-1970,Ishurdi,31.7
02-08-1970,Khulna,****
02-08-1970,Rajshahi,****
02-08-1970,Rangpur,30
02-08-1970,Satkhira,32.2
02-08-1970,Srimangal,31.6
02-08-1970,Sylhet,29.4
03-08-1970,Barisal,31.6
03-08-1970,Bhola,31.5
03-08-1970,Bogra,31.7
03-08-1970,Dinajpur,31.1
03-08-1970,Ishurdi,31.7
03-08-1970,Khulna,33.8
03-08-1970,Rajshahi,****
03-08-1970,Rangpur,31.4
03-08-1970,Satkhira,32.2
03-08-1970,Srimangal,31.9
03-08-1970,Sylhet,29.4
04-08-1970,Barisal,31.4
04-08-1970,Bhola,30.8
04-08-1970,Bogra,32.2
04-08-1970,Dinajpur,32.2
04-08-1970,Ishurdi,****
04-08-1970,Khulna,31.6
04-08-1970,Rajshahi,****
04-08-1970,Rangpur,30.9
04-08-1970,Satkhira,32.2
04-08-1970,Srimangal,31.6
04-08-1970,Sylhet,28.3
05-08-1970,Barisal,31.6
05-08-1970,Bhola,31.4
05-08-1970,Bogra,31.7
05-08-1970,Dinajpur,32.2
05-08-1970,Ishurdi,32
05-08-1970,Khulna,31.2
05-08-1970,Rajshahi,****
05-08-1970,Rangpur,31.7
05-08-1970,Satkhira,31.7
05-08-1970,Srimangal,32.2
05-08-1970,Sylhet,29.4
06-08-1970,Barisal,30.3
06-08-1970,Bhola,30.3
06-08-1970,Bogra,30.6
06-08-1970,Dinajpur,30.6
06-08-1970,Ishurdi,32.2
06-08-1970,Khulna,31.9
06-08-1970,Rajshahi,****
06-08-1970,Rangpur,31.7
06-08-1970,Satkhira,32.2
06-08-1970,Srimangal,32.2
06-08-1970,Sylhet,30.6
07-08-1970,Barisal,28.7
07-08-1970,Bhola,29.4
07-08-1970,Bogra,30
07-08-1970,Dinajpur,****
07-08-1970,Ishurdi,30
07-08-1970,Khulna,28
07-08-1970,Rajshahi,****
07-08-1970,Rangpur,31.6
07-08-1970,Satkhira,29.4
07-08-1970,Srimangal,32.2
07-08-1970,Sylhet,30.6
08-08-1970,Barisal,29.2
08-08-1970,Bhola,29.4
08-08-1970,Bogra,30
08-08-1970,Dinajpur,31.1
08-08-1970,Ishurdi,32.2
08-08-1970,Khulna,30.2
08-08-1970,Rajshahi,****
08-08-1970,Rangpur,30.8
08-08-1970,Satkhira,29.4
08-08-1970,Srimangal,32.2
08-08-1970,Sylhet,30
09-08-1970,Barisal,30.1
09-08-1970,Bhola,29.4
09-08-1970,Bogra,30.6
09-08-1970,Dinajpur,30
09-08-1970,Ishurdi,32.4
09-08-1970,Khulna,31.2
09-08-1970,Rajshahi,****
09-08-1970,Rangpur,31
09-08-1970,Satkhira,32.2
09-08-1970,Srimangal,32.2
09-08-1970,Sylhet,28.9
10-08-1970,Barisal,30.8
10-08-1970,Bhola,30.6
10-08-1970,Bogra,30.6
10-08-1970,Dinajpur,32.2
10-08-1970,Ishurdi,31.7
10-08-1970,Khulna,30.8
10-08-1970,Rajshahi,****
10-08-1970,Rangpur,31.7
10-08-1970,Satkhira,32.2
10-08-1970,Srimangal,31.1
10-08-1970,Sylhet,26.7
11-08-1970,Barisal,33.3
11-08-1970,Bhola,30.8
11-08-1970,Bogra,30.6
11-08-1970,Dinajpur,31.1
11-08-1970,Ishurdi,31
11-08-1970,Khulna,31.9
11-08-1970,Rajshahi,****
11-08-1970,Rangpur,30.3
11-08-1970,Satkhira,32.2
11-08-1970,Srimangal,31.6
11-08-1970,Sylhet,29.4
12-08-1970,Barisal,26.8
12-08-1970,Bhola,30.8
12-08-1970,Bogra,30
12-08-1970,Dinajpur,33.3
12-08-1970,Ishurdi,28.7
12-08-1970,Khulna,30.6
12-08-1970,Rajshahi,****
12-08-1970,Rangpur,32.2
12-08-1970,Satkhira,29.4
12-08-1970,Srimangal,31.1
12-08-1970,Sylhet,30.6
13-08-1970,Barisal,30.5
13-08-1970,Bhola,31.5
13-08-1970,Bogra,31.2
13-08-1970,Dinajpur,31.7
13-08-1970,Ishurdi,31.8
13-08-1970,Khulna,30
13-08-1970,Rajshahi,****
13-08-1970,Rangpur,****
13-08-1970,Satkhira,32.2
13-08-1970,Srimangal,31.6
13-08-1970,Sylhet,31.1
14-08-1970,Barisal,31.7
14-08-1970,Bhola,30.9
14-08-1970,Bogra,32.2
14-08-1970,Dinajpur,33.3
14-08-1970,Ishurdi,33.3
14-08-1970,Khulna,26.7
14-08-1970,Rajshahi,****
14-08-1970,Rangpur,32.8
14-08-1970,Satkhira,32.2
14-08-1970,Srimangal,32.2
14-08-1970,Sylhet,32.2
15-08-1970,Barisal,33.2
15-08-1970,Bhola,31.4
15-08-1970,Bogra,33.9
15-08-1970,Dinajpur,34.4
15-08-1970,Ishurdi,33.3
15-08-1970,Khulna,35.6
15-08-1970,Rajshahi,****
15-08-1970,Rangpur,33.3
15-08-1970,Satkhira,33.3
15-08-1970,Srimangal,32.7
15-08-1970,Sylhet,32.8
16-08-1970,Barisal,30.6
16-08-1970,Bhola,30.3
16-08-1970,Bogra,31.1
16-08-1970,Dinajpur,31.7
16-08-1970,Ishurdi,31
16-08-1970,Khulna,****
16-08-1970,Rajshahi,****
16-08-1970,Rangpur,33.6
16-08-1970,Satkhira,35
16-08-1970,Srimangal,32.7
