Date,Stations,Min_Temp
09-05-1970,Srimangal,22.2
09-06-1970,Srimangal,25
09-03-1970,Sylhet,18.3
09-04-1970,Sylhet,22.2
09-05-1970,Sylhet,23.3
09-06-1970,Sylhet,25.6
10-03-1970,Barisal,20.7
10-04-1970,Barisal,25.6
10-05-1970,Barisal,26.9
10-06-1970,Barisal,25.8
10-03-1970,Bhola,18.4
10-04-1970,Bhola,24.3
10-05-1970,Bhola,26.7
10-06-1970,Bhola,23.6
10-03-1970,Bogra,16
10-04-1970,Bogra,23.3
10-05-1970,Bogra,23.3
10-06-1970,Bogra,26.6
10-03-1970,Dinajpur,16.7
10-04-1970,Dinajpur,21.2
10-05-1970,Dinajpur,26.2
10-06-1970,Dinajpur,27.3
10-03-1970,Ishurdi,17.1
10-04-1970,Ishurdi,24.2
10-05-1970,Ishurdi,25.7
10-06-1970,Ishurdi,26.7
10-03-1970,Jessore,20.2
10-04-1970,Jessore,24.4
10-05-1970,Jessore,26.3
10-06-1970,Jessore,24.4
10-03-1970,Khulna,22.3
10-04-1970,Khulna,****
10-05-1970,Khulna,27.9
10-06-1970,Khulna,26.3
10-03-1970,Rajshahi,****
10-04-1970,Rajshahi,****
10-05-1970,Rajshahi,****
10-06-1970,Rajshahi,****
10-03-1970,Rangpur,13.4
10-04-1970,Rangpur,17.3
10-05-1970,Rangpur,23.3
10-06-1970,Rangpur,23.9
10-03-1970,Satkhira,21.9
10-04-1970,Satkhira,21.7
10-05-1970,Satkhira,26.1
10-06-1970,Satkhira,22.2
10-03-1970,Srimangal,16.7
10-04-1970,Srimangal,20
10-05-1970,Srimangal,25
10-06-1970,Srimangal,26.1
10-03-1970,Sylhet,16.1
10-04-1970,Sylhet,19.4
10-05-1970,Sylhet,22.2
10-06-1970,Sylhet,27.2
11-03-1970,Barisal,20.5
11-04-1970,Barisal,25
11-05-1970,Barisal,26.9
11-06-1970,Barisal,24.6
11-03-1970,Bhola,18.4
11-04-1970,Bhola,23.3
11-05-1970,Bhola,26.5
11-06-1970,Bhola,24.6
11-03-1970,Bogra,20.3
11-04-1970,Bogra,23.4
11-05-1970,Bogra,27.2
11-06-1970,Bogra,25.3
11-03-1970,Dinajpur,18.9
11-04-1970,Dinajpur,23.4
11-05-1970,Dinajpur,27.3
11-06-1970,Dinajpur,26.2
11-03-1970,Ishurdi,20
11-04-1970,Ishurdi,25.6
11-05-1970,Ishurdi,27.2
11-06-1970,Ishurdi,22
11-03-1970,Jessore,20.3
11-04-1970,Jessore,25.3
11-05-1970,Jessore,27.2
11-06-1970,Jessore,26.6
11-03-1970,Khulna,21.7
11-04-1970,Khulna,22.2
11-05-1970,Khulna,27.2
11-06-1970,Khulna,26.1
11-03-1970,Rajshahi,****
11-04-1970,Rajshahi,****
11-05-1970,Rajshahi,****
11-06-1970,Rajshahi,****
11-03-1970,Rangpur,14.1
11-04-1970,Rangpur,17.6
11-05-1970,Rangpur,23.1
11-06-1970,Rangpur,24.1
11-03-1970,Satkhira,20.2
11-04-1970,Satkhira,23.9
11-05-1970,Satkhira,25
11-06-1970,Satkhira,25
11-03-1970,Srimangal,16.1
11-04-1970,Srimangal,18.3
11-05-1970,Srimangal,26.7
11-06-1970,Srimangal,25.6
11-03-1970,Sylhet,17.8
11-04-1970,Sylhet,20.6
11-05-1970,Sylhet,26.7
11-06-1970,Sylhet,25
12-03-1970,Barisal,18.4
12-04-1970,Barisal,23.3
