Temp_Max,tmin,rh,rain,sunshine,windsp
31.7,24.3,72,0,8.6,4.3
33.1,23.3,75,0,9.3,4
31.9,24.8,75,0,9.1,0
32.1,24.3,76,0,8.6,2
32.2,24.7,80,0,10.3,5
32.2,23.1,77,5,9,0
33.2,22.8,74,0,9.5,2
31.3,22.3,75,0,6.2,2
31.2,20.6,71,0,9.4,2
31.8,21.7,74,0,8.6,2
31.6,21.1,63,0,10.6,0
31,19.9,71,0,9.3,2
31.2,20.6,75,0,9.2,0
32.8,21.1,73,0,10.2,0
33.3,22.5,72,0,9.4,2
32.9,22.8,70,0,6,5
26.1,23.3,85,0,0.4,2
31.2,20.4,81,0,8.6,5
29.5,24.3,91,19,10.5,1
31.1,22.3,81,2,6.4,1
31.1,20.6,75,0,11.3,1
30.1,20.5,77,0,11.4,2
30.3,21.4,79,0,10.7,1.7
31.1,21,78,0,11,2
31.7,21.3,78,0,9.6,4.3
31.1,22.2,85,0,7.8,2
30.6,22.7,83,18,7.1,1
29.4,20.9,86,19,9.1,2
30.8,21.3,80,0,10.8,2
31.1,21.1,78,0,11.1,1
30.3,20,77,0,11.1,1
31.1,16.9,74,0,10.8,1
30.7,18.7,71,0,11.2,1
30.6,18.7,76,0,11.5,1
31.8,19.5,70,0,11.2,1
32.8,20.9,76,0,11.4,2
32.8,22.1,80,0,10.2,1
31.4,21.8,80,0,10.5,1.5
27.9,22.1,84,0,3.4,1
29.4,20.6,82,0,9.2,1
29.9,17.3,68,0,10,0
29.4,17.8,68,0,9.4,2
29.6,18.1,67,0,9.4,2
29.2,17.2,66,0,9.4,5
29.8,17.2,71,0,9.5,2
29.1,17.6,70,0,7.7,2
28.8,17.1,73,0,8.3,0
28.9,16.7,72,0,7.7,2
28.6,17.6,76,0,6.4,3
28.8,16.7,73,0,9.4,2
29.1,16.7,71,0,9.7,2
28.9,16.6,73,0,10.2,2
30.5,15,73,0,9.3,3.5
30.6,16.7,64,0,10.1,2
29.7,20.6,66,0,6.4,2
29.4,18.1,71,0,7.7,2
31.1,19.3,68,0,10.2,0
29.2,20.8,79,0,4.1,2
30,18.5,69,0,11,0
29.8,18.1,67,0,6.8,0
28.9,18.1,69,0,9.1,2
31.2,24.1,78,24,9.1,2
22.6,16.7,76,0,10.8,1
29.7,16.1,74,0,10.6,2
29.7,16.7,72,0,10.6,1
28.1,17.1,75,0,10.2,1
21.5,16.7,76,0,9.4,2
28.3,17.8,73,0,10.1,2
28.9,17.1,78,0,10.2,7
29.2,16.4,73,0,10.3,1
28.1,16.4,81,0,8.3,2
28.5,17.3,74,0,9.7,1
30.7,16.3,71,0,10,1
30.6,18.3,74,0,8.6,1
31.1,18.3,73,0,9.8,2
31.7,17.2,76,0,10.6,1
29.7,16.5,80,0,6.7,1
31.1,17.3,72,0,10.6,1
30,19.5,74,0,6.6,1
26.8,19.9,78,0,3.1,1
30.9,16.6,74,0,10.9,1
30.3,17.3,71,0,10.3,3
30.8,16.7,73,0,10.6,1
30.6,17.5,58,0,8.9,3
