Date,Stations,Min_Temp
06-06-1970,Barisal,26.9
06-07-1970,Barisal,27.7
06-08-1970,Barisal,26.5
06-09-1970,Barisal,24.1
06-10-1970,Barisal,24
06-11-1970,Barisal,18.3
06-06-1970,Bhola,24.1
06-07-1970,Bhola,****
06-08-1970,Bhola,26.5
06-09-1970,Bhola,25.1
06-10-1970,Bhola,24.3
06-11-1970,Bhola,23.5
06-06-1970,Bogra,24.9
06-07-1970,Bogra,****
06-08-1970,Bogra,27.7
06-09-1970,Bogra,****
06-10-1970,Bogra,23.8
06-11-1970,Bogra,20.6
06-06-1970,Dinajpur,24.4
06-07-1970,Dinajpur,27.8
06-08-1970,Dinajpur,27.8
06-09-1970,Dinajpur,26.2
06-10-1970,Dinajpur,****
06-11-1970,Dinajpur,18.9
06-06-1970,Ishurdi,24.6
06-07-1970,Ishurdi,27.3
06-08-1970,Ishurdi,26.8
06-09-1970,Ishurdi,25
06-10-1970,Ishurdi,22.7
06-11-1970,Ishurdi,****
06-06-1970,Jessore,26.8
06-07-1970,Jessore,27.4
06-08-1970,Jessore,26.7
06-09-1970,Jessore,23.9
06-10-1970,Jessore,24.7
06-11-1970,Jessore,20
06-06-1970,Khulna,****
06-07-1970,Khulna,28.6
06-08-1970,Khulna,27.3
06-09-1970,Khulna,25.6
06-10-1970,Khulna,24.1
06-11-1970,Khulna,22.3
06-06-1970,Rajshahi,****
06-07-1970,Rajshahi,****
06-08-1970,Rajshahi,****
06-09-1970,Rajshahi,****
06-10-1970,Rajshahi,****
06-11-1970,Rajshahi,****
06-06-1970,Rangpur,21.9
06-07-1970,Rangpur,24.7
06-08-1970,Rangpur,24.7
06-09-1970,Rangpur,26.3
06-10-1970,Rangpur,22.4
06-11-1970,Rangpur,19.9
06-06-1970,Satkhira,25.6
06-07-1970,Satkhira,25
06-08-1970,Satkhira,23.9
06-09-1970,Satkhira,23.9
06-10-1970,Satkhira,25
06-11-1970,Satkhira,20
06-06-1970,Srimangal,25
06-07-1970,Srimangal,25
06-08-1970,Srimangal,25
06-09-1970,Srimangal,23.9
06-10-1970,Srimangal,22.2
06-11-1970,Srimangal,20.6
06-06-1970,Sylhet,21.7
06-07-1970,Sylhet,25
06-08-1970,Sylhet,24.4
06-09-1970,Sylhet,26.1
06-10-1970,Sylhet,21.1
06-11-1970,Sylhet,20.6
07-06-1970,Barisal,26.5
07-07-1970,Barisal,26.3
07-08-1970,Barisal,25.3
07-09-1970,Barisal,26.6
07-10-1970,Barisal,24.3
07-11-1970,Barisal,19.5
07-06-1970,Bhola,23.9
07-07-1970,Bhola,****
07-08-1970,Bhola,26.9
07-09-1970,Bhola,25.9
07-10-1970,Bhola,24.2
07-11-1970,Bhola,23.4
07-06-1970,Bogra,24.9
07-07-1970,Bogra,27.8
07-08-1970,Bogra,27.1
07-09-1970,Bogra,26.7
07-10-1970,Bogra,24.6
07-11-1970,Bogra,20
07-06-1970,Dinajpur,26
07-07-1970,Dinajpur,28.4
07-08-1970,Dinajpur,27.2
07-09-1970,Dinajpur,26.2
07-10-1970,Dinajpur,24.5
07-11-1970,Dinajpur,18.9
07-06-1970,Ishurdi,25
07-07-1970,Ishurdi,27.1
07-08-1970,Ishurdi,26.7
07-09-1970,Ishurdi,26.1
07-10-1970,Ishurdi,22.8
07-11-1970,Ishurdi,****
07-06-1970,Jessore,26.6
07-07-1970,Jessore,26.1
07-08-1970,Jessore,26.1
07-09-1970,Jessore,26.2
07-10-1970,Jessore,23.4
07-11-1970,Jessore,20.2
07-06-1970,Khulna,26.7
07-07-1970,Khulna,26.7
07-08-1970,Khulna,26.1
07-09-1970,Khulna,24.4
07-10-1970,Khulna,24.6
07-11-1970,Khulna,22.3
07-06-1970,Rajshahi,****
07-07-1970,Rajshahi,****
07-08-1970,Rajshahi,****
07-09-1970,Rajshahi,****
07-10-1970,Rajshahi,****
07-11-1970,Rajshahi,****
07-06-1970,Rangpur,24.1
07-07-1970,Rangpur,24.8
07-08-1970,Rangpur,24.9
07-09-1970,Rangpur,26.1
07-10-1970,Rangpur,22.7
07-11-1970,Rangpur,19.7
07-06-1970,Satkhira,25.6
07-07-1970,Satkhira,24.4
07-08-1970,Satkhira,23.3
07-09-1970,Satkhira,24.7
07-10-1970,Satkhira,23.9
07-11-1970,Satkhira,20
07-06-1970,Srimangal,25.6
07-07-1970,Srimangal,25
07-08-1970,Srimangal,25
07-09-1970,Srimangal,24.4
07-10-1970,Srimangal,22.2
07-11-1970,Srimangal,20.6
07-06-1970,Sylhet,****
07-07-1970,Sylhet,25
07-08-1970,Sylhet,25
07-09-1970,Sylhet,25
07-10-1970,Sylhet,23.3
07-11-1970,Sylhet,19.4
08-06-1970,Barisal,25.5
08-07-1970,Barisal,26.3
08-08-1970,Barisal,24.5
08-09-1970,Barisal,27.1
08-10-1970,Barisal,24.7
08-11-1970,Barisal,21.5
08-06-1970,Bhola,22.3
08-07-1970,Bhola,****
08-08-1970,Bhola,25
08-09-1970,Bhola,24.4
08-10-1970,Bhola,24.4
08-11-1970,Bhola,22.5
08-06-1970,Bogra,25
08-07-1970,Bogra,25.8
08-08-1970,Bogra,26.1
08-09-1970,Bogra,26.7
08-10-1970,Bogra,22.3
08-11-1970,Bogra,20.6
08-06-1970,Dinajpur,23.9
08-07-1970,Dinajpur,27.3
08-08-1970,Dinajpur,26.7
08-09-1970,Dinajpur,27.2
08-10-1970,Dinajpur,22.8
08-11-1970,Dinajpur,19.5
08-06-1970,Ishurdi,25.3
08-07-1970,Ishurdi,27.8
08-08-1970,Ishurdi,25.4
08-09-1970,Ishurdi,26.7
08-10-1970,Ishurdi,****
08-11-1970,Ishurdi,****
08-06-1970,Jessore,27.2
08-07-1970,Jessore,26.6
08-08-1970,Jessore,25.2
08-09-1970,Jessore,28.1
08-10-1970,Jessore,24
08-11-1970,Jessore,19.5
08-06-1970,Khulna,25.6
