Date,Stations,Max_Temp
11-06-1970,Rajshahi,****
11-03-1970,Rangpur,31.8
11-04-1970,Rangpur,38.3
11-05-1970,Rangpur,37.6
11-06-1970,Rangpur,32.8
11-03-1970,Satkhira,26.6
11-04-1970,Satkhira,36.7
11-05-1970,Satkhira,37.1
11-06-1970,Satkhira,31.7
11-03-1970,Srimangal,27.2
11-04-1970,Srimangal,31.1
11-05-1970,Srimangal,35.2
11-06-1970,Srimangal,32.2
11-03-1970,Sylhet,26.1
11-04-1970,Sylhet,29.4
11-05-1970,Sylhet,32.2
11-06-1970,Sylhet,31.7
12-03-1970,Barisal,31.9
12-04-1970,Barisal,33.9
12-05-1970,Barisal,35.2
12-06-1970,Barisal,32.5
12-03-1970,Bhola,30.2
12-04-1970,Bhola,36.2
12-05-1970,Bhola,35.7
12-06-1970,Bhola,34.1
12-03-1970,Bogra,31.8
12-04-1970,Bogra,35
12-05-1970,Bogra,38.1
12-06-1970,Bogra,33.3
12-03-1970,Dinajpur,30.6
12-04-1970,Dinajpur,34.4
12-05-1970,Dinajpur,41.7
12-06-1970,Dinajpur,33.3
12-03-1970,Ishurdi,32.2
12-04-1970,Ishurdi,35.1
12-05-1970,Ishurdi,43.3
12-06-1970,Ishurdi,34
12-03-1970,Jessore,32.3
12-04-1970,Jessore,35.7
12-05-1970,Jessore,33.3
12-06-1970,Jessore,34
12-03-1970,Khulna,33.3
12-04-1970,Khulna,36.1
12-05-1970,Khulna,****
12-06-1970,Khulna,34.7
12-03-1970,Rajshahi,****
12-04-1970,Rajshahi,****
12-05-1970,Rajshahi,****
12-06-1970,Rajshahi,****
12-03-1970,Rangpur,32.2
12-04-1970,Rangpur,38.4
12-05-1970,Rangpur,38.7
12-06-1970,Rangpur,33.8
12-03-1970,Satkhira,32.1
12-04-1970,Satkhira,36.7
12-05-1970,Satkhira,39.3
12-06-1970,Satkhira,30.6
12-03-1970,Srimangal,31.6
12-04-1970,Srimangal,33.8
12-05-1970,Srimangal,35.2
12-06-1970,Srimangal,32.8
12-03-1970,Sylhet,****
12-04-1970,Sylhet,31.7
12-05-1970,Sylhet,33.9
12-06-1970,Sylhet,30.6
13-03-1970,Barisal,32.3
13-04-1970,Barisal,33.9
13-05-1970,Barisal,34.7
13-06-1970,Barisal,33.7
13-03-1970,Bhola,29.7
13-04-1970,Bhola,36.3
13-05-1970,Bhola,35.2
13-06-1970,Bhola,34.7
13-03-1970,Bogra,32.5
13-04-1970,Bogra,36.6
13-05-1970,Bogra,43.6
13-06-1970,Bogra,35
13-03-1970,Dinajpur,31.3
13-04-1970,Dinajpur,36.1
13-05-1970,Dinajpur,40
13-06-1970,Dinajpur,36.7
13-03-1970,Ishurdi,33.1
13-04-1970,Ishurdi,36.9
13-05-1970,Ishurdi,44
13-06-1970,Ishurdi,34.3
13-03-1970,Jessore,33.6
13-04-1970,Jessore,36.2
13-05-1970,Jessore,35.6
13-06-1970,Jessore,35.2
13-03-1970,Khulna,****
13-04-1970,Khulna,35.5
13-05-1970,Khulna,37.3
13-06-1970,Khulna,36.7
13-03-1970,Rajshahi,****
13-04-1970,Rajshahi,****
13-05-1970,Rajshahi,****
13-06-1970,Rajshahi,****
13-03-1970,Rangpur,32.4
13-04-1970,Rangpur,38
13-05-1970,Rangpur,39
13-06-1970,Rangpur,34.2
13-03-1970,Satkhira,32.6
